,Movie,Year,Duration,Rating,Metascore,Votes,Gross Total (Millions)
149,The Martian,2015,144,8,80,760434,228.43
150,Logan,2017,137,8.1,77,648316,226.28
151,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,552798,249.36
152,12 Angry Men,1957,96,9,96,690366,4.36
153,Memento,2000,113,8.4,80,1126285,25.54
154,Atonement,2007,123,7.8,85,251531,50.93
155,The Usual Suspects,1995,106,8.5,77,991693,23.34
156,The Hunt,2012,115,8.3,77,281913,0.69
157,Coco,2017,105,8.4,81,384823,209.73
158,Inside Man,2006,129,7.6,76,339974,88.51
159,Full Metal Jacket,1987,116,8.3,76,675485,46.36
160,Reservoir Dogs,1992,99,8.3,79,919076,2.83
161,Braveheart,1995,178,8.3,68,959599,75.6
162,Ocean's Eleven,2001,116,7.7,74,516572,183.42
163,Drive,2011,100,7.8,78,571844,35.06
164,A Beautiful Mind,2001,135,8.2,72,849383,170.74
165,American History X,1998,119,8.5,62,1035145,6.72
166,Hidden Figures,2016,127,7.8,74,200978,169.61
167,Portrait of a Lady on Fire,2019,122,8.1,95,63345,3.76
168,Aliens,1986,137,8.3,84,653012,85.16
169,La La Land,2016,128,8,94,506309,151.1
170,Indiana Jones and the Raiders of the Lost Ark,1981,115,8.4,85,884478,248.16
171,The Lion King,1994,88,8.5,88,942593,422.78
172,X-Men: Days of Future Past,2014,132,7.9,75,659951,233.92
173,"The Good, the Bad and the Ugly",1966,178,8.8,90,688799,6.1
174,Inside Out,2015,95,8.1,94,616787,356.46
175,The Fifth Element,1997,126,7.7,52,434252,63.54
176,Brokeback Mountain,2005,134,7.7,87,323231,83.04
177,Oldboy,2003,120,8.4,77,515776,0.71
178,What's Eating Gilbert Grape,1993,118,7.8,73,215138,9.17
179,Toy Story 4,2019,100,7.8,84,203483,434.04
180,Apollo 13,1995,140,7.6,77,269332,173.84
181,Scarface,1983,170,8.3,65,741362,45.6
182,Zootopia,2016,108,8,78,434401,341.27
183,The Hobbit: The Desolation of Smaug,2013,161,7.8,66,601650,258.37
184,Arrival,2016,116,7.9,81,594533,100.55
185,Fried Green Tomatoes,1991,130,7.7,64,66972,82.42
186,Ex Machina,2014,108,7.7,78,474376,25.44
187,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,479374,295.98
188,Wonder,2017,113,8,66,142065,132.42
189,Harry Potter and the Half-Blood Prince,2009,153,7.6,78,475099,301.96
190,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,912115,34.4
191,300,2006,117,7.6,52,733070,210.61
192,Howl's Moving Castle,2004,119,8.2,80,334258,4.71
193,The Notebook,2004,123,7.8,53,520504,81
194,Spotlight,2015,129,8.1,93,420601,45.06
195,Ratatouille,2007,111,8,96,642003,206.45
196,The Pianist,2002,150,8.5,85,730126,32.57
197,The Blues Brothers,1980,133,7.9,60,183251,57.23
198,L.A. Confidential,1997,138,8.2,90,532229,64.62
199,The Perks of Being a Wallflower,2012,103,8,67,462445,17.74
200,Life Is Beautiful,1997,116,8.6,59,624034,57.6
201,The Invisible Guest,2016,106,8.1,,141806,
202,The Hangover,2009,100,7.7,73,717767,277.32
203,Die Hard,1988,132,8.2,72,793459,83.01
204,The Imitation Game,2014,114,8,73,685588,91.13
205,City of God,2002,130,8.6,79,699543,7.56
206,Ghostbusters,1984,105,7.8,71,355538,238.63
207,The Sound of Music,1965,172,8,63,205505,163.21
208,Her,2013,126,8,90,541086,25.57
209,The Handmaiden,2016,145,8.1,84,113828,2.01
210,Mulan,1998,88,7.6,71,257015,120.62
211,2001: A Space Odyssey,1968,149,8.3,84,603835,56.95
212,12 Monkeys,1995,129,8,74,578674,57.14
213,The Godfather: Part III,1990,162,7.6,60,360049,66.67
214,Platoon,1986,120,8.1,92,381397,138.53
215,Cool Hand Luke,1967,127,8.1,92,162068,16.22
216,American Gangster,2007,157,7.8,76,392631,130.16
217,V for Vendetta,2005,132,8.2,62,1033176,70.51
218,Shaun of the Dead,2004,99,7.9,76,512430,13.54
219,The Incredibles,2004,115,8,90,657353,261.44
220,Trainspotting,1996,93,8.1,83,634968,16.5
221,Casino,1995,178,8.2,73,466585,42.44
222,Hot Fuzz,2007,121,7.8,81,463639,23.64
223,Black Swan,2010,108,8,79,699907,106.95
224,Jaws,1975,124,8,87,543517,260
225,12 Years a Slave,2013,134,8.1,96,640888,56.67
226,Stand by Me,1986,89,8.1,75,363556,52.29
227,The Boy in the Striped Pajamas,2008,94,7.8,55,190852,9.03
228,Skyfall,2012,143,7.7,81,630771,304.36
229,True Romance,1993,119,7.9,59,206988,12.28
230,Marriage Story,2019,137,7.9,94,246998,2
231,The Sixth Sense,1999,107,8.1,64,911916,293.51
232,Sin City,2005,124,8,74,738602,74.1
233,The Breakfast Club,1985,97,7.8,66,357140,45.88
234,Sherlock Holmes,2009,128,7.6,57,583326,209.03
235,Tombstone,1993,130,7.8,50,126928,56.51
236,Home Alone,1990,103,7.6,63,489020,285.76
237,My Cousin Vinny,1992,120,7.6,68,107379,52.93
238,Out of the Past,1947,97,8,,32805,
239,Fantastic Mr. Fox,2009,87,7.9,83,199867,21
240,Argo,2012,120,7.7,86,572759,136.03
241,Lost in Translation,2003,102,7.7,89,415296,44.59
242,Pan's Labyrinth,2006,118,8.2,98,618894,37.63
243,Your Name.,2016,106,8.4,79,195247,5.02
244,Warrior,2011,140,8.2,71,436126,13.66
245,Captain Fantastic,2016,118,7.9,72,189537,5.88
246,Toy Story,1995,81,8.3,95,887924,191.8
247,The Night of the Hunter,1955,92,8,99,82018,0.65
248,The Lives of Others,2006,137,8.4,89,358894,11.29
249,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,535458,3.9
250,Manchester by the Sea,2016,137,7.8,96,247135,47.7
251,Magnolia,1999,188,8,77,289855,22.46
252,Memories of Murder,2003,132,8.1,82,139774,0.01
253,Psycho,1960,109,8.5,97,604552,32
254,WALL·E,2008,98,8.4,95,1000343,223.81
255,Silver Linings Playbook,2012,122,7.7,81,662094,132.09
256,Casablanca,1942,102,8.5,100,522356,1.02
257,Mary Poppins,1964,139,7.8,88,158086,102.27
258,The Thing,1982,109,8.1,57,371469,13.78
259,Capernaum,2018,126,8.4,75,62828,1.66
260,Cast Away,2000,143,7.8,73,524478,233.63
261,The Curious Case of Benjamin Button,2008,166,7.8,70,589435,127.51
262,Star Trek Into Darkness,2013,132,7.7,72,463267,228.78
263,Enter the Dragon,1973,102,7.7,83,96613,25
264,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,450718,0.28
265,Airplane!,1980,88,7.7,78,214970,83.4
266,Up,2009,96,8.2,88,935995,293
267,Training Day,2001,122,7.7,69,390502,76.63
268,Gone Baby Gone,2007,114,7.6,72,250704,20.3
269,Just Mercy,2019,137,7.6,68,46870,
270,Dances with Wolves,1990,181,8,72,240364,184.21
271,Moneyball,2011,133,7.6,87,369802,75.61
272,Finding Nemo,2003,100,8.1,90,950027,380.84
273,Road to Perdition,2002,117,7.7,72,246942,104.45
274,Apocalypto,2006,139,7.8,68,291112,50.87
275,X-Men: First Class,2011,131,7.7,65,645673,146.41
276,Butch Cassidy and the Sundance Kid,1969,110,8,66,201950,102.31
277,Kick-Ass,2010,117,7.6,66,524203,48.07
278,Come and See,1985,142,8.3,,59170,
279,Hunt for the Wilderpeople,2016,101,7.9,81,111584,5.2
280,Serenity,2005,119,7.8,74,283372,25.51
281,Edge of Tomorrow,2014,113,7.9,71,600271,100.21
282,Shrek,2001,90,7.8,84,614177,267.67
283,Red River,1948,133,7.8,,28185,
284,Ferris Bueller's Day Off,1986,103,7.8,61,321497,70.14
285,Incredibles 2,2018,118,7.6,80,250317,608.58
286,Minority Report,2002,145,7.6,80,508582,132.07
287,The Blind Side,2009,129,7.6,53,293404,255.96
288,Raging Bull,1980,129,8.2,89,322043,23.38
289,Groundhog Day,1993,101,8,72,578800,70.91
290,28 Days Later...,2002,113,7.6,73,376983,45.06
291,Chinatown,1974,130,8.1,92,294428,29
292,Crash,2004,112,7.7,66,419583,54.58
293,Amadeus,1984,160,8.3,88,369209,51.97
294,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,580538,42.34
295,Blood Diamond,2006,143,8,64,499646,57.37
296,Unforgiven,1992,130,8.2,85,376135,101.16
297,Remember the Titans,2000,113,7.8,48,198178,115.65
298,E.T. the Extra-Terrestrial,1982,115,7.8,91,372614,435.11
299,The Exorcist,1973,122,8,81,362520,232.91
300,Slumdog Millionaire,2008,120,8,84,799086,141.32
301,The Bourne Identity,2002,119,7.9,68,508910,121.66
302,Once Upon a Time in the West,1968,165,8.5,80,303022,5.32
303,The Untouchables,1987,119,7.9,79,281992,76.27
304,Tangled,2010,100,7.7,71,406132,200.82
305,Rocky,1976,120,8.1,70,518849,117.24
306,The Deer Hunter,1978,183,8.1,86,311526,48.98
307,Man on Fire,2004,146,7.7,47,329741,77.91
308,Incendies,2010,130,8.3,80,150168,6.86
309,The Wizard of Oz,1939,102,8,92,371454,2.08
310,Rain Man,1988,133,8,65,473258,178.8
